deity,domain
Achlys,Misery
Achlys,Sadness
Achlys,Night
Chaos,Void
Chaos,Creation
Chaos,Abyss
Gaia,Life
Gaia,Earth
Gaia,Motherhood
Gaia,World Parent
Uranus,Sky
Uranus,Fatherhood
Tartarus,The Underworld
Nyx,Shadow
Nyx,Night
Nyx,Beauty
Aether,Upper Air
Hemera,Day
Eros,Love
Eros,Sexual Attraction
Erebus,Darkness
Erebus,Shadow
Pontus,Sea
Pontus,Seafaring
Thalassa,Sea
Thalassa,Fish
Ananke,Inevitability
Ananke,Necessity
Aion,Time
Aion,Eternity
Chronos,Order
Chronos,Time
Coeus,Intellect
Crius,Constellations
Chronos,Harvest
Chronos,Fertility (crops)
Hyperion,Watchfulness
Hyperion,Wisdom
Hyperion,Light
Iapetus,Mortality
Iapetus,Craftsmanship
Oceanus,Sea
Mnemosyne,Memory
Phoebe,Prophecy
Phoebe,Oracles
Rhea,Fertility (birth)
Rhea,Motherhood
Theia,Sight
Theia,Sky
Themis,Law
Themis,Order
Tethys,Fresh Water
Thanatos,Death
Zeus,Seafaring
Zeus,Lightning
Zeus,Sky
Zeus,Thunder
Zeus,Storm
Zeus,Law
Zeus,Order
Zeus,Justice
Zeus,Heavens
Zeus,Wind
Poseidon,Seafaring
Poseidon,Sea
Poseidon,Earthquakes
Poseidon,Storm
Poseidon,Soil
Poseidon,Horses
Poseidon,Wind
Apollo,Sex
Apollo,Music
Apollo,Poetry
Apollo,Art
Apollo,Oracles
Apollo,Archery
Apollo,Plague
Apollo,Medicine
Apollo,Knowledge
Apollo,Foresight
Ares,Battle
Ares,War
Ares,Violence
Hephaestus,Fire
Hephaestus,Metalworking
Hephaestus,Blacksmiths
Hephaestus,Sculpture
Hephaestus,Forges
Hephaestus,Masonry
Hermes,Messenger
Hermes,Trade
Hermes,Thieves
Hermes,Travelers
Hermes,Sports
Hermes,Athletes
Hermes,Crossroads
Dionysus,Alcohol
Dionysus,Grapes
Dionysus,Wine
Dionysus,Theater
Dionysus,Ecstasy
Dionysus,Revelry
Hades,The Dead
Hades,Afterlife
Hades,Darkness
Hades,Death
Hades,Earth
Hades,Fertility (birth)
Hades,Wealth
Hades,Mortality
Hades,Metals
Asclepius,Medicine
Asclepius,Healing
Asclepius,Rejuvenation
Asclepius,Physicians
Hera,Marriage
Hera,Women
Hera,Childbirth
Hera,Family
Demeter,Agriculture
Demeter,Harvest
Demeter,Fertility (crops)
Demeter,Sacred Law
Athena,War
Athena,Artisans
Athena,Wisdom
Athena,Military Strategy
Artemis,Hunt
Artemis,Forests
Artemis,Moon
Artemis,Archery
Aphrodite,Sex
Aphrodite,Sexuality
Aphrodite,Beauty
Aphrodite,Love
Aphrodite,Youth
Hestia,Hearth
Hestia,Home
Hestia,State
Persephone,The Underworld
Persephone,Spring
Persephone,Flowers
Persephone,Flora
Hebe,Eternal Youth
Hebe,Cupbearer
Helios,Sun
Helios,Light
Selene,Moon
Selene,Night
Eos,Dawn
Eos,Wind
Astraeus,Dusk
